0461301;830;
0508237;693;
0752084;586;
0752085;586;
0752087;586;
1160120;800;
1160122;800;
1160124;800;
1160126;800;
1160128;800;
1413702;614;
1413703;614;
1413704;614;
1413705;614;
1413712;614;
1413713;614;
1413714;614;
1413715;614;
1416742;805;
1416743;805;
1416744;797;
1426105;752;
1647451;508;
1840873;786;
1848021;780;
1848090;776;
1848186;781;
1848802;764;
1848803;776;
1849072;781;
2013005;473;
2106000;813;
2106502;770;
2106546;792;
2108563;785;
2108587;783;
2108602;786;
2108636;785;
2163820;813;
2201320;751;
2281714;784;
2290944;793;
2452259;735;
2740746;699;
2740776;699;
2741923;753;
5117525;500;
5172657;720;
5172663;720;
5289407;740;
7026780;744;
7026781;744;
7026782;744;
7026829;744;
7026833;745;
7026930;745;
7026961;741;
7217360;750;
7217361;749;
7217362;757;
7217364;740;
7217696;742;
7217697;739;
7217704;742;
7217724;743;
7217726;743;
7217777;744;
7218229;745;
7218230;757;
7218231;750;
7218473;749;
7218495;744;
7218514;749;
7218687;743;
7219226;749;
7219227;757;
7219290;741;
7219291;741;
7400724;738;
7403088;742;
7460768;742;
7464137;744;
7464189;744;
7464673;755;
7464674;755;
7465740;744;
7468228;745;
7469046;749;
7469494;748;
7473488;742;
7473489;742;
7473490;740;
7473491;740;
7474428;744;
7474647;740;
7474648;740;
7474705;751;
7474751;749;
7474752;749;
7474902;749;
7475133;740;
7475339;740;
7475341;740;
7475687;750;
7475907;772;
7476122;758;
7476722;748;
7476723;748;
7476921;751;
7476922;749;
7476939;749;
7476946;744;
7476963;744;
7476964;744;
7476969;744;
7477204;749;
7507844;749;
7507845;748;
7507846;749;
7508669;742;
7508670;741;
7508894;744;
7510783;740;
7510784;740;
7510785;743;
7590151;743;
7590153;751;
7590154;739;
7764995;714;
7770076;741;
7770077;738;
7770078;740;
7770156;743;
7770157;743;
7770158;745;
7770159;747;
7770160;746;
7982562;752;
7982563;751;
7982564;751;
7982566;752;
7982567;751;
7982568;751;
8581565;749;
8940301;789;
8940302;789;
8940303;789;
8940304;789;
8940305;789;
8940306;789;
8940307;789;
8940308;789;
8940603;812;
8940604;812;
8940607;812;
8941201;750;
8941202;750;
8941203;770;
8941204;770;
8941205;770;
8941206;770;
8941207;770;
8941208;770;
8941209;750;
8941210;750;
8941211;750;
8941212;750;
8941213;750;
8941214;750;
9413006;738;
